"Instruction","Opcode","Format","Funct3","Funct4","Description"
"C.ADDI","01","CI","000","-","Add Immediate"
"C.NOP","01","CI","000","-","No Operation (C.ADDI x0, x0, 0)"
"C.JAL","01","CI","001","-","Jump and Link (RV32C only)"
"C.ADDI4SPN","01","CIW","000","-","Add Immediate to SP (x0 as base)"
"C.LI","01","CI","010","-","Load Immediate"
"C.ADDI16SP","01","CI","011","-","Add Immediate to SP (x2 as base)"
"C.LUI","01","CI","101","-","Load Upper Immediate (RV32C only)"
"C.SRLI","10","CI","100","0000","Shift Right Logical Immediate"
"C.SRAI","10","CI","100","0100","Shift Right Arithmetic Immediate"
"C.ANDI","10","CI","100","1000","And Immediate"
"C.SUB","10","CI","100","1001","Subtract"
"C.XOR","10","CI","100","1010","Exclusive OR"
"C.OR","10","CI","100","1100","Inclusive OR"
"C.AND","10","CI","100","1110","And"
"C.J","10","CJ","101","-","Jump"
"C.BEQZ","10","CB","110","-","Branch if Equal to Zero"
"C.BNEZ","10","CB","111","-","Branch if Not Equal to Zero"
"C.SLLI","10","CI","000","0000","Shift Left Logical Immediate"
"C.MV","10","CI","000","1000","Move"
"C.EBREAK","10","CI","000","1001","Environment Break"
"C.JR","10","CJ","100","-","Jump and Return"
"C.JALR","10","CJ","100","-","Jump and Link Register"
"C.LW","00","CL","010","-","Load Word"
"C.SW","00","CS","110","-","Store Word"
"C.LWSP","01","CI","110","-","Load Word from Stack Pointer"
"C.SWSP","01","CS","110","-","Store Word to Stack Pointer"
